px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
6.24282	-12.9116	-2.66266	-0.57487	-1.08407	6.10143	-13.0076	6.1	-13	-2.72966	0.909888	2.25374
6.08833	-12.8619	-2.68403	-0.603214	-1.0462	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988	1.64523
5.98011	-12.7464	-2.72207	-0.701887	-1.11796	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851	6.72782
5.83656	-12.6849	-2.74753	-0.725461	-1.07826	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852	2.06264
5.71833	-12.6183	-2.71014	-0.738365	-1.00737	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995	8.16021
5.57058	-12.5534	-2.72691	-0.75483	-0.963466	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995	1.61467
5.4609	-12.4376	-2.74412	-0.819372	-0.981841	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753	1.09256
5.30527	-12.3695	-2.76483	-0.823384	-0.925957	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175	2.4184
5.1963	-12.2734	-2.7534	-0.854748	-0.899625	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989	0.964305
5.05701	-12.1881	-2.76733	-0.866876	-0.858404	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199	1.21687
4.9641	-12.0761	-2.77601	-0.910775	-0.859535	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929	0.547209
4.84695	-11.9928	-2.78308	-0.92189	-0.82534	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928	0.811067
4.75527	-11.8656	-2.79183	-0.970862	-0.831744	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471	0.314753
4.66467	-11.7407	-2.79397	-1.01117	-0.825666	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247	0.0270034
4.5879	-11.6306	-2.75656	-1.03793	-0.798036	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971	5.36734
4.51683	-11.5082	-2.74902	-1.07926	-0.796713	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969	0.25102
4.44355	-11.3458	-2.83149	-1.14552	-0.835788	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032	26.6352
4.40635	-11.2013	-2.83248	-1.20452	-0.85377	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321	0.233097
4.38488	-11.0662	-2.78111	-1.26535	-0.871484	4.43713	-11.024	4.45	-11.05	0	1.81614	10.4491
4.37027	-10.913	-2.77412	-1.3338	-0.894495	4.45136	-10.93	4.45	-10.95	0	1.81612	0.400086
4.34716	-10.764	-2.76922	-1.38965	-0.902707	4.44745	-10.786	4.45	-10.8	0	2.72555	0.148322
4.35771	-10.6095	-2.76121	-1.46419	-0.930708	4.45788	-10.6457	4.45	-10.65	0	2.72554	0.649049
4.35701	-10.4614	-2.75384	-1.52424	-0.942827	4.46329	-10.5756	4.45	-10.5	0	2.729	0.358223
4.37591	-10.3096	-2.74957	-1.59205	-0.960644	4.44057	-10.3382	4.45	-10.35	0	2.72898	0.284013
4.40332	-10.1601	-2.74227	-1.66315	-0.984966	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687	0.46693
